City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
222,Korla,CN,2020-02-20 20:52:40,41.76,86.15,27.0,88,0,6.42
223,Port Hedland,AU,2020-02-20 20:57:48,-20.32,118.57,80.6,78,75,11.41
224,Whitianga,NZ,2020-02-20 20:52:17,-36.83,175.7,79.0,77,56,1.01
225,Kandrian,PG,2020-02-20 20:57:48,-6.22,149.55,77.13,86,100,8.41
226,Aykhal,RU,2020-02-20 20:55:08,66.0,111.5,-0.4,84,33,6.71
227,Alugan,PH,2020-02-20 20:57:48,12.22,125.48,77.94,83,91,19.55
228,Cherskiy,RU,2020-02-20 20:53:39,68.75,161.3,-16.73,97,100,7.09
229,Sarangani,PH,2020-02-20 20:57:48,5.4,125.46,80.46,70,44,14.41
230,Ilulissat,GL,2020-02-20 20:53:33,69.22,-51.1,-0.4,59,20,9.17
231,Saint Anthony,US,2020-02-20 20:53:37,45.02,-93.22,17.01,33,1,6.93
232,Vanino,RU,2020-02-20 20:57:49,49.09,140.25,4.89,74,36,7.05
233,Sao Filipe,CV,2020-02-20 20:53:21,14.9,-24.5,70.88,71,16,21.59
234,Yuncheng,CN,2020-02-20 20:57:49,35.02,110.99,35.19,81,66,5.88
235,Cap Malheureux,MU,2020-02-20 20:54:40,-19.98,57.61,78.8,74,75,11.41
236,Dhidhdhoo,MV,2020-02-20 20:57:49,6.88,73.1,82.2,65,0,8.3
237,Praya,CV,2020-02-20 20:48:55,14.92,-23.51,67.98,84,46,14.52
238,Bagdarin,RU,2020-02-20 20:57:49,54.43,113.6,-4.7,86,35,5.17
239,Manyana,BW,2020-02-20 20:57:49,-23.4,21.72,69.75,74,99,10.76
240,Kathmandu,NP,2020-02-20 20:53:34,27.72,85.32,51.8,100,75,3.36
241,Gazojak,TM,2020-02-20 20:57:49,41.19,61.4,43.25,47,100,10.98
242,Inverell,AU,2020-02-20 20:54:44,-29.78,151.12,69.01,82,19,4.0
243,Guerrero Negro,MX,2020-02-20 20:53:53,27.98,-114.06,73.98,40,27,8.84
244,Fortuna,US,2020-02-20 20:53:49,40.6,-124.16,60.01,62,1,5.82
245,Roald,NO,2020-02-20 20:57:50,62.58,6.13,39.2,74,40,16.11
246,Suntar,RU,2020-02-20 20:53:51,62.14,117.63,12.07,96,100,4.41
247,Husavik,IS,2020-02-20 20:53:57,66.04,-17.34,30.2,92,90,18.34
248,Surt,LY,2020-02-20 20:54:41,31.21,16.59,54.88,78,13,10.85
249,Olafsvik,IS,2020-02-20 20:53:35,64.89,-23.71,29.16,78,100,33.64
250,Esperance,AU,2020-02-20 20:53:21,-33.87,121.9,57.2,87,0,8.05
251,Alberton,CA,2020-02-20 20:57:52,46.82,-64.07,7.0,16,100,14.67
252,Richards Bay,ZA,2020-02-20 20:54:46,-28.78,32.04,78.76,86,100,4.16
253,Santa Maria,BR,2020-02-20 20:51:45,-29.68,-53.81,84.2,51,40,8.05
254,Edgewater,US,2020-02-20 20:57:52,28.99,-80.9,88.0,57,90,8.05
255,Hovd,MN,2020-02-20 20:57:52,48.01,91.64,2.48,78,34,1.79
256,Grand Gaube,MU,2020-02-20 20:53:58,-20.01,57.66,78.8,74,75,11.41
257,Scarborough,GB,2020-02-20 20:57:52,54.28,-0.4,41.0,80,0,17.22
258,Manuel Roxas,PH,2020-02-20 20:57:52,6.45,124.67,62.55,90,24,1.68
259,Alice Springs,AU,2020-02-20 20:53:16,-23.7,133.88,66.2,24,17,11.21
260,Phrae,TH,2020-02-20 20:57:52,18.08,100.0,77.0,48,91,1.41
261,Verbivka,UA,2020-02-20 20:57:52,49.42,35.53,32.18,84,100,5.77
262,Puerto Narino,CO,2020-02-20 20:53:48,-3.77,-70.38,89.6,70,40,4.7
263,Ahipara,NZ,2020-02-20 20:53:21,-35.17,173.17,72.0,100,76,10.02
264,Arshan,RU,2020-02-20 20:57:53,46.27,44.22,33.8,100,99,13.42
265,Jinka,ET,2020-02-20 20:57:53,5.65,36.65,77.83,52,77,4.54
266,Buchanan,LR,2020-02-20 20:57:53,5.88,-10.05,80.6,94,40,3.36
267,Pochutla,MX,2020-02-20 20:57:53,15.74,-96.47,91.4,46,20,11.41
268,Port Hardy,CA,2020-02-20 20:55:03,50.7,-127.42,44.6,70,40,9.17
269,Zyryanka,RU,2020-02-20 20:57:53,65.75,150.85,-21.8,89,93,9.91
